,importance
type_primary,0.45016579720533223
cuisine__Modern Australian,0.08694960442715002
votes,0.06634736649736242
cuisine__Italian,0.012660480999051394
subzone,0.011628609210356699
cuisine__Pub Food,0.010920141620901302
cuisine__Cafe,0.005800195575069833
cuisine__Bar Food,0.0045515566917114
cuisine__Vietnamese,0.004494938240102964
cuisine__Sushi,0.0023179001839979006
rating_number,0.0016005406151921365
cuisine__Thai,0.0009115713082111454
cuisine__Pizza,0.0007553673564555163
cuisine__Burger,0.000705925419460518
cuisine__Japanese,0.00042223189828028974
