,importance
votes,0.06634736649736242
rating_number,0.0016005406151921365
type_primary,0.45016579720533223
subzone,0.011628609210356699
cuisine__Cafe,0.005800195575069833
cuisine__Modern Australian,0.08694960442715002
cuisine__Chinese,0.00027571189852229063
cuisine__Italian,0.012660480999051394
cuisine__Pizza,0.0007553673564555163
cuisine__Thai,0.0009115713082111454
cuisine__Japanese,0.00042223189828028974
cuisine__Asian,-0.0001474024177173572
cuisine__Burger,0.000705925419460518
cuisine__Indian,5.620545740048222e-05
cuisine__Seafood,-0.01635982827933278
cuisine__Vietnamese,0.004494938240102964
cuisine__Sushi,0.0023179001839979006
cuisine__Pub Food,0.010920141620901302
cuisine__Bar Food,0.0045515566917114
